rank,input_value,cycles,per_cycle_delta,total_delta,per_cycle_phantom_debt_shares,total_phantom_debt_shares,per_cycle_phantom_debt_value,total_phantom_debt_value,final_virtual_output,reason
1,2,100000,-3,-300000,1,100000,2,200000,-100000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
2,3,100000,-3,-300000,1,100000,2,200000,0,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
3,4,100000,-3,-300000,1,100000,2,200000,100000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
4,5,100000,-3,-300000,1,100000,2,200000,200000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
5,10,100000,-3,-300000,1,100000,2,200000,700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
6,25,100000,-3,-300000,1,100000,2,200000,2200000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
7,50,100000,-3,-300000,1,100000,2,200000,4700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
8,100,100000,-3,-300000,1,100000,2,200000,9700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
9,1000,100000,-3,-300000,1,100000,2,200000,99700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
10,10000,100000,-3,-300000,1,100000,2,200000,999700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
11,100000,100000,-3,-300000,1,100000,2,200000,9999700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
12,250000,100000,-3,-300000,1,100000,2,200000,24999700000,per_cycle_delta_nonzero;total_delta_nonzero;phantom_debt_shares_accumulate;phantom_debt_value_accumulate;final_output_less_than_total_input
