rank,rank_score,input_value,borrow_ratio,repay_ratio,liquidity_offset,borrow_offset,supplied_capital,shares_received,borrowed_capital,debt_shares_minted,repaid_capital,debt_shares_burned,withdrawn_capital,phantom_debt_shares,phantom_debt_value,final_output,delta,loss_ratio_ppm,reason
1,20925006,10000000,9/10,1/4,1,1,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
2,20925006,10000000,9/10,1/4,1,2,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
3,20925006,10000000,9/10,1/4,1,3,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
4,20925006,10000000,9/10,1/4,1,7,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
5,20925006,10000000,9/10,1/4,1,11,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
6,20925006,10000000,9/10,1/4,1,17,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
7,20925006,10000000,9/10,1/4,1,31,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
8,20925006,10000000,9/10,1/4,1,67,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
9,20925006,10000000,9/10,1/4,1,123,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
10,20925006,10000000,9/10,1/4,1,255,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
11,20925006,10000000,9/10,1/4,1,456,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
12,20925006,10000000,9/10,1/4,1,1023,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
13,20925006,10000000,9/10,1/4,2,1,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
14,20925006,10000000,9/10,1/4,2,2,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
15,20925006,10000000,9/10,1/4,2,3,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
16,20925006,10000000,9/10,1/4,2,7,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
17,20925006,10000000,9/10,1/4,2,11,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
18,20925006,10000000,9/10,1/4,2,17,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
19,20925006,10000000,9/10,1/4,2,31,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
20,20925006,10000000,9/10,1/4,2,67,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
21,20925006,10000000,9/10,1/4,2,123,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
22,20925006,10000000,9/10,1/4,2,255,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
23,20925006,10000000,9/10,1/4,2,456,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
24,20925006,10000000,9/10,1/4,2,1023,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
25,20925006,10000000,9/10,1/4,3,1,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
26,20925006,10000000,9/10,1/4,3,2,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
27,20925006,10000000,9/10,1/4,3,3,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
28,20925006,10000000,9/10,1/4,3,7,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
29,20925006,10000000,9/10,1/4,3,11,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
30,20925006,10000000,9/10,1/4,3,17,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
31,20925006,10000000,9/10,1/4,3,31,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
32,20925006,10000000,9/10,1/4,3,67,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
33,20925006,10000000,9/10,1/4,3,123,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
34,20925006,10000000,9/10,1/4,3,255,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
35,20925006,10000000,9/10,1/4,3,456,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
36,20925006,10000000,9/10,1/4,3,1023,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
37,20925006,10000000,9/10,1/4,7,1,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
38,20925006,10000000,9/10,1/4,7,2,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
39,20925006,10000000,9/10,1/4,7,3,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
40,20925006,10000000,9/10,1/4,7,7,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
41,20925006,10000000,9/10,1/4,7,11,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
42,20925006,10000000,9/10,1/4,7,17,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
43,20925006,10000000,9/10,1/4,7,31,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
44,20925006,10000000,9/10,1/4,7,67,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
45,20925006,10000000,9/10,1/4,7,123,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
46,20925006,10000000,9/10,1/4,7,255,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
47,20925006,10000000,9/10,1/4,7,456,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
48,20925006,10000000,9/10,1/4,7,1023,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
49,20925006,10000000,9/10,1/4,11,1,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
50,20925006,10000000,9/10,1/4,11,2,10000000,9999999,9000000,9000000,2250000,2249999,9999999,6750001,6750002,3249997,-6750003,675000,phantom_debt_shares;phantom_debt_value;delta_nonzero;final_output_less_than_input;minted_debt_exceeds_burned_debt
