checkpoint_id,elapsed_seconds,cycles,total_supplied,total_borrowed,total_repaid,total_withdrawn,total_supply_shares,total_debt_shares_minted,total_debt_shares_burned,total_phantom_debt_shares,total_phantom_debt_value,total_delta,current_loss_ratio_ppm,max_single_delta,max_single_phantom_value,over_50_percent_count,over_90_percent_count
1,15.0,9537953,953795300000000,917233144000000,35671938060000,953795290462047,953795290462047,917233144000000,35671928522047,881561215477953,881561225015906,-881561234553859,924266,98010003,98010002,9537953,6358636
2,30.0,19037548,1903754800000000,1830777536000000,71200426200000,1903754780962452,1903754780962452,1830777536000000,71200407162452,1759577128837548,1759577147875096,-1759577166912644,924266,98010003,98010002,19037548,12691700
3,45.0,28526147,2852614700000000,2743264467000000,106687783620000,2852614671473853,2852614671473853,2743264467000000,106687755093853,2636576711906147,2636576740432294,-2636576768958441,924266,98010003,98010002,28526147,19017432
4,60.0,38006539,3800653900000000,3654962170000000,142144453110000,3800653861993461,3800653861993461,3654962170000000,142144415103461,3512817754896539,3512817792903078,-3512817830909617,924266,98010003,98010002,38006539,25337693
5,75.0,47508476,4750847600000000,4568731777000000,177681694700000,4750847552491524,4750847552491524,4568731777000000,177681647191524,4391050129808476,4391050177316952,-4391050224825428,924266,98010003,98010002,47508476,31672318
6,90.0,56996176,5699617600000000,5481132262000000,213165694920000,5699617543003824,5699617543003824,5481132262000000,213165637923824,5267966624076176,5267966681072352,-5267966738068528,924266,98010003,98010002,56996176,37997452
7,105.0,66473720,6647372000000000,6392556075000000,248611707260000,6647371933526280,6647371933526280,6392556075000000,248611640786280,6143944434213720,6143944500687440,-6143944567161160,924266,98010003,98010002,66473720,44315814
8,120.0,75912670,7591267000000000,7300268435000000,283913382480000,7591266924087330,7591266924087330,7300268435000000,283913306567330,7016355128432670,7016355204345340,-7016355280258010,924266,98010003,98010002,75912670,50608448
9,135.0,85369830,8536983000000000,8209731985000000,319283164200000,8536982914630170,8536982914630170,8209731985000000,319283078830170,7890448906169830,7890448991539660,-7890449076909490,924266,98010003,98010002,85369830,56913220
10,150.0,94807583,9480758300000000,9117329229000000,354580354260000,9480758205192417,9480758205192417,9117329229000000,354580259452417,8762748969547583,8762749064355166,-8762749159162749,924266,98010003,98010002,94807583,63205056
11,165.0,104233735,10423373500000000,10023810852000000,389834166150000,10423373395766265,10423373395766265,10023810852000000,389834061916265,9633976790083735,9633976894317470,-9633976998551205,924266,98010003,98010002,104233735,69489157
12,180.0,113636644,11363664400000000,10928057268000000,425001045240000,11363664286363356,11363664286363356,10928057268000000,425000931603356,10503056336396644,10503056450033288,-10503056563669932,924266,98010003,98010002,113636644,75757764
